BildId	Omrade	Strak	Bildnr	X-koordinat	Y-koordinat	Hojd	Bildoverl	Strakoverl	Kamera	K-konst	Tidpunkt	GSD	SolHojd	SolAzimut
														
13h448ss16_1~2013-06-12_103236_16	13h448	1	16	7032503.0	403547.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:32:36Z	0.48	49.3406802465153	167.608230571898
13h448ss16_1~2013-06-12_103254_17	13h448	1	17	7030013.0	403557.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:32:54Z	0.48	49.3698483974487	167.710320523319
13h448ss16_1~2013-06-12_103312_18	13h448	1	18	7027516.0	403579.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:33:12Z	0.48	49.3990519798707	167.812846624512
13h448ss16_1~2013-06-12_103330_19	13h448	1	19	7025012.0	403598.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:33:30Z	0.48	49.4282660848092	167.915387146632
13h448ss16_2~2013-06-12_104508_43	13h448	2	43	7027498.0	410729.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:45:08Z	0.48	49.6407833636716	172.224361934382
13h448ss16_2~2013-06-12_104530_44	13h448	2	44	7029995.0	410720.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:45:30Z	0.48	49.6240200554359	172.355483940266
13h448ss16_2~2013-06-12_104553_45	13h448	2	45	7032496.0	410691.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:45:53Z	0.48	49.6073444683559	172.491838926103
