BildId	Omrade	Strak	Bildnr	X-koordinat	Y-koordinat	Hojd	Bildoverl	Strakoverl	Kamera	K-konst	Tidpunkt	GSD	SolHojd	SolAzimut
														
13d648ss16_8~2013-06-12_083426_121	13d648	8	121	7032503.0	396415.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:34:26Z	0.48	42.3920833561245	129.312492878028
13d648ss16_8~2013-06-12_083444_122	13d648	8	122	7030010.0	396416.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:34:44Z	0.48	42.4328074207151	129.385076587868
13d648ss16_8~2013-06-12_083502_123	13d648	8	123	7027506.0	396410.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:35:02Z	0.48	42.473563552679	129.457487653469
13d648ss16_8~2013-06-12_083520_124	13d648	8	124	7025013.0	396404.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:35:20Z	0.48	42.5142686379587	129.530012294879
13h448ss16_1~2013-06-12_103236_16	13h448	1	16	7032503.0	403547.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:32:36Z	0.48	49.3406802465153	167.608230571898
13h448ss16_1~2013-06-12_103254_17	13h448	1	17	7030013.0	403557.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:32:54Z	0.48	49.3698483974487	167.710320523319
13h448ss16_1~2013-06-12_103312_18	13h448	1	18	7027516.0	403579.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:33:12Z	0.48	49.3990519798707	167.812846624512
13h448ss16_1~2013-06-12_103330_19	13h448	1	19	7025012.0	403598.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:33:30Z	0.48	49.4282660848092	167.915387146632
