BildId	Omrade	Strak	Bildnr	X-koordinat	Y-koordinat	Hojd	Bildoverl	Strakoverl	Kamera	K-konst	Tidpunkt	GSD	SolHojd	SolAzimut
														
13d648ss16_8~2013-06-12_083313_117	13d648	8	117	7042500.0	396407.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:33:13Z	0.48	42.2277106350119	129.017926858057
13d648ss16_8~2013-06-12_083331_118	13d648	8	118	7040009.0	396408.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:33:31Z	0.48	42.2683658621674	129.090313880355
13d648ss16_8~2013-06-12_083349_119	13d648	8	119	7037508.0	396414.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:33:49Z	0.48	42.3091282401538	129.162812281292
13d648ss16_8~2013-06-12_083407_120	13d648	8	120	7035001.0	396423.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:34:07Z	0.48	42.3499607006143	129.23539795882
13h448ss16_1~2013-06-12_103123_12	13h448	1	12	7042513.0	403538.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:31:23Z	0.48	49.2227540650421	167.196063574593
13h448ss16_1~2013-06-12_103141_13	13h448	1	13	7040011.0	403530.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:31:41Z	0.48	49.2521806230417	167.297194042711
13h448ss16_1~2013-06-12_103159_14	13h448	1	14	7037513.0	403530.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:31:59Z	0.48	49.2815411572266	167.398663346183
