BildId	Omrade	Strak	Bildnr	X-koordinat	Y-koordinat	Hojd	Bildoverl	Strakoverl	Kamera	K-konst	Tidpunkt	GSD	SolHojd	SolAzimut
														
13d648ss16_7~2013-06-12_084651_147	13d648	7	147	7024993.0	389263.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:46:51Z	0.48	43.4410675280346	132.726006083608
13d648ss16_7~2013-06-12_084714_148	13d648	7	148	7027489.0	389244.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:47:14Z	0.48	43.4567321892805	132.852367891634
13d648ss16_7~2013-06-12_084738_149	13d648	7	149	7029996.0	389225.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:47:38Z	0.48	43.4735690032815	132.983766595647
13d648ss16_8~2013-06-12_083426_121	13d648	8	121	7032503.0	396415.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:34:26Z	0.48	42.3920833561245	129.312492878028
13d648ss16_8~2013-06-12_083444_122	13d648	8	122	7030010.0	396416.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:34:44Z	0.48	42.4328074207151	129.385076587868
13d648ss16_8~2013-06-12_083502_123	13d648	8	123	7027506.0	396410.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:35:02Z	0.48	42.473563552679	129.457487653469
13d648ss16_8~2013-06-12_083520_124	13d648	8	124	7025013.0	396404.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T08:35:20Z	0.48	42.5142686379587	129.530012294879
