BildId	Omrade	Strak	Bildnr	X-koordinat	Y-koordinat	Hojd	Bildoverl	Strakoverl	Kamera	K-konst	Tidpunkt	GSD	SolHojd	SolAzimut
13h448ss16_1~2013-06-12_103123_12	13h448	1	12	7042513.0	403538.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:31:23Z	0.48	49.2227540650421	167.196063574593
13h448ss16_1~2013-06-12_103141_13	13h448	1	13	7040011.0	403530.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:31:41Z	0.48	49.2521806230417	167.297194042711
13h448ss16_1~2013-06-12_103159_14	13h448	1	14	7037513.0	403530.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:31:59Z	0.48	49.2815411572266	167.398663346183
13h448ss16_1~2013-06-12_103217_15	13h448	1	15	7035007.0	403534.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:32:17Z	0.48	49.3109341184919	167.500341849715
13h448ss16_2~2013-06-12_104615_46	13h448	2	46	7034994.0	410669.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:46:15Z	0.48	49.5903516846095	172.622389931574
13h448ss16_2~2013-06-12_104638_47	13h448	2	47	7037496.0	410681.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:46:38Z	0.48	49.5734871702384	172.759702489445
13h448ss16_2~2013-06-12_104700_48	13h448	2	48	7039996.0	410709.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:47:00Z	0.48	49.5563119074844	172.891471218702
13h448ss16_2~2013-06-12_104722_49	13h448	2	49	7042497.0	410708.0	7400	60	26	Vexcel UC-E-1-16	0.08	2013-06-12T10:47:22Z	0.48	49.5390005479989	173.022315375428
